Text_Column,Label_Column
asshole,explicit
abbie,explicit
abbo,explicit
abeed,explicit
ass,explicit
aboe,explicit
abortion,explicit
abraham,explicit
abuse,explicit
acrotomophilia,explicit
addict,explicit
addicts,explicit
adult,explicit
aeolus,explicit
africoon,explicit
ahole,explicit
alaskan pipeline,explicit
alligator bait,explicit
alligatorbait,explicit
amateur,explicit
amcik,explicit
anal,explicit
anal,explicit
anal hore,explicit
anal,explicit
pirate,explicit
analannie,explicit
analingus,explicit
analplug,explicit
analplugs,explicit
analprobe,explicit
analsex,explicit
andskota,explicit
angie,explicit
anilingus,explicit
fucker,explicit
anus,explicit
anus,explicit
ape,explicit
shit,explicit
ape shite,explicit
apeshit,explicit
apeshite,explicit
arabush,explicit
arabushs,explicit
areola,explicit
areole,explicit
argie,explicit
arian,explicit
armo,explicit
armos,explicit
aroused,explicit
arrse,explicit
arschloch,explicit
arse,explicit
arse,explicit
arse hole,explicit
arse-bandit,explicit
arse-bandits,explicit
arsefuck,explicit
arsefucker,explicit
arse-fucker,explicit
arse-fuckers,explicit
arsehole,explicit
arse-hole,explicit
arse-shagger,explicit
arseshit,explicit
arsewipe,explicit
aryan,explicit
asanchez,explicit
ashole,explicit
asholes,explicit
asian,explicit
ass,explicit
ass fecker,explicit
ass fuck,explicit
ass fucker,explicit
ass hole,explicit
ass,explicit
assassin,explicit
assassinate,explicit
assassination,explicit
assault,explicit
assbag,explicit
assbagger,explicit
assbandit,explicit
assbang,explicit
assbanged,explicit
assbanger,explicit
assbangs,explicit
assbite,explicit
assblaster,explicit
assclown,explicit
asscock,explicit
asscracker,explicit
asses,explicit
assface,explicit
assfaces,explicit
assfck,explicit
assfcker,explicit
assfk,explicit
assfkcer,explicit
assfker,explicit
assfkr,explicit
assfook,explicit
assfuccer,explicit
assfuck,explicit
assfucker,explicit
ass-fucker,explicit
assfuckers,explicit
assfuckerz,explicit
assfukah,explicit
assfukka,explicit
assfukker,explicit
assfukkerz,explicit
assfvcker,explicit
assgoblin,explicit
asshat,explicit
asshead,explicit
asshole,explicit
jerk,explicit
asshole fucker,explicit
assholes,explicit
assholz,explicit
asshopper,explicit
asshore,explicit
ass-jabber,explicit
assjacker,explicit
assjockey,explicit
asskiss,explicit
asskisser,explicit
assklown,explicit
asslick,explicit
asslicker,explicit
asslover,explicit
assman,explicit
assmaster,explicit
assmonkey,explicit
assmucus,explicit
assmunch,explicit
assmuncher,explicit
assnigger,explicit
asspacker,explicit
asspirate,explicit
ass-pirate,explicit
asspuppies,explicit
assrammer,explicit
assranger,explicit
assshit,explicit
assshole,explicit
asssucker,explicit
asswad,explicit
asswhole,explicit
asswhore,explicit
asswipe,explicit
asswipes,explicit
athletesfoot,explicit
attack,explicit
australian,explicit
auto erotic,explicit
autoerotic,explicit
axe wound,explicit
axewound,explicit
axwound,explicit
ayir,explicit
azazel,explicit
azz,explicit
azzhole,explicit
bastard,explicit
bitch,explicit
boob,explicit
bitching,explicit
boob,explicit
boobies,explicit
boobiez,explicit
boobs,explicit
boobz,explicit
bollock,explicit
bollocks,explicit
babes,explicit
babies,explicit
backdoor,explicit
backdoorman,explicit
bampot,explicit
bang,explicit
bangbro,explicit
bangbros,explicit
bangbus,explicit
banger,explicit
banging,explicit
baptist,explicit
bareback,explicit
barelylegal,explicit
barenaked,explicit
barf,explicit
barface,explicit
barfface,explicit
bassterd,explicit
bassterds,explicit
bassturd,explicit
bast,explicit
bastard,explicit
bastard ,explicit
bastardish,explicit
bastardo,explicit
bastards,explicit
bastardz,explicit
basterd,explicit
basterds,explicit
basterdz,explicit
bastid,explicit
bastinado,explicit
bastird,explicit
basturd,explicit
bates,explicit
batshit,explicit
batshite,explicit
bawdy,explicit
bazongas,explicit
bazooms,explicit
beaner,explicit
beaners,explicit
beaney,explicit
beaneys,explicit
beardedclam,explicit
beastality,explicit
beastial,explicit
beastiality,explicit
beastility,explicit
beater,explicit
beaver,explicit
beeotch,explicit
beeyotch,explicit
bellend,explicit
bender,explicit
beotch,explicit
bestial,explicit
bestiality,explicit
bewbs,explicit
beyoch,explicit
beyotch,explicit
biatch,explicit
bible,explicit
bich,explicit
biches,explicit
bicurious,explicit
bigbastard,explicit
bigbreasts,explicit
bigbutt,explicit
bigger,explicit
bigtits,explicit
bimbo,explicit
bimbos,explicit
bint,explicit
biotch,explicit
biotches,explicit
biotchez,explicit
birdlock,explicit
bishes,explicit
bitch,explicit
bitch tit,explicit
bitchasses,explicit
bitched,explicit
bitcher,explicit
bitchers,explicit
bitches,explicit
bitchez,explicit
bitchfuck,explicit
bitchhole,explicit
bitchin,explicit
bitchin',explicit
bitching,explicit
bitchlike,explicit
bitchness,explicit
bitchs,explicit
bitchslap,explicit
bitchtit,explicit
bitchtits,explicit
bitchy,explicit
bitchy ass,explicit
